codigo,nome_decomp,nome_completo,arquivo_fonte
1,ANGRA 1,,CT
4,ST.CRUZ 34,,CT
12,CUIABA CC,,CT
13,ANGRA 2,,CT
47,TERMORIO,,CT
49,VIANA,,CT
54,J.FORA,,CT
60,NORTEFLU,,CT
62,SEROPEDICA,,CT
63,IBIRITE,,CT
65,ATLAN_CSA,,CT
68,T.LAGOAS,,CT
90,T.MACAE,,CT
97,CUBATAO,,CT
108,XAVANTES,,CT
110,NPIRATINGA,,CT
137,UTE GNA I,,CT
146,UTE STA VI,,CT
153,DAIA,,CT
182,PALMEIR_GO,,CT
183,ATLANTICO,,CT
194,TNORTE 2,,CT
211,BAIXADA FL,,CT
229,O.PINTADA,,CT
236,M.AZUL,,CT
238,UTE GNA II,,CT
245,KARKEY 013,,CT
246,KARKEY 019,,CT
247,LORM_PCS,,CT
415,LORM,,CT
248,PAULINIA,,CT
249,PORSUD I,,CT
250,PORSUD II,,CT
251,POVOACAO I,,CT
651,POVOAC I_F,,CT
253,VIANA I,,CT
334,W.ARJONA,,CT
434,W.ARJONA O,,CT
24,J.LACER. C,,CT
25,J.LACER. B,,CT
26,J.LAC. A1,,CT
27,J.LAC. A2,,CT
35,URUGUAIANA,,CT
48,ARAUCARIA,,CT
64,CANOAS,,CT
107,PAMPA SUL,,CT
149,SAO SEPE,,CT
156,CANDIOTA_3,,CT
254,B.BONITA I,,CT
43,T.BAHIA,,CT
52,CAMPINA_GR,,CT
53,GLOBAL I,,CT
55,GLOBAL II,,CT
57,MARACANAU,,CT
58,TERMOCEARA,,CT
67,TERMONE,,CT
69,TERMOPB,,CT
83,VALE ACU,,CT
96,TERMOPE,,CT
98,PERNAMBU_3,,CT
106,ERB CANDEI,,CT
144,PETROLINA,,CT
147,PROSP_I,,CT
151,POTIGUAR,,CT
152,TERMOCABO,,CT
161,POTIGUAR_3,,CT
162,PECEM 2,,CT
163,P.PECEM2,,CT
167,P.PECEM1,,CT
170,SUAPE II,,CT
223,PROSP_III,,CT
235,C.MURICY 2,,CT
241,PROSP_II,,CT
21,MARANHAO V,,CT
36,MARANHAOIV,,CT
46,N.VENECIA2,,CT
70,GERAMAR2,,CT
73,GERAMAR1,,CT
116,PARNAIB_IV,,CT
140,UTE MAUA 3,,CT
176,P. ITAQUI,,CT
201,APARECIDA,,CT
203,PORAQUE,,CT
204,JARAQUI,,CT
205,PIRARUCU,,CT
207,TUCUNARE,,CT
209,TAMBAQUI,,CT
212,MARANHAO3,,CT
239,PARNAIBA_V,,CT
240,BARCARENA,,CT
322,BBF BALIZA,,CT
323,BONFIM,,CT
324,CANTA,,CT
326,JAGUATI II,,CT
327,M.C.SUCUBA,,CT
328,PALMAPLAN,,CT
329,PAU RAINHA,,CT
330,SANTA LUZ,,CT
