codigo,nome_decomp
1,CAMARGOS
2,ITUTINGA
4,FUNIL-GRANDE
6,FURNAS
7,M. DE MORAES
8,ESTREITO
9,JAGUARA
10,IGARAPAVA
11,VOLTA GRANDE
12,P. COLOMBIA
14,CACONDE
15,E. DA CUNHA
16,A.S.OLIVEIRA
17,MARIMBONDO
18,A. VERMELHA
20,BATALHA
21,SERRA FACAO
24,EMBORCACAO
25,NOVA PONTE
26,MIRANDA
27,CAPIM BRANC1
28,CAPIM BRANC2
29,CORUMBA IV
30,CORUMBA I
31,ITUMBIARA
32,CACH.DOURADA
33,SAO SIMAO
34,I. SOLTEIRA
37,BARRA BONITA
38,A.S. LIMA
39,IBITINGA
40,PROMISSAO
42,NAVANHANDAVA
43,TRES IRMAOS
45,JUPIA
46,P. PRIMAVERA
47,A.A. LAYDNER
48,PIRAJU
49,CHAVANTES
50,L.N. GARCEZ
51,CANOAS II
52,CANOAS I
53,PARANAPANEMA
57,MAUA
61,CAPIVARA
62,TAQUARUCU
63,ROSANA
66,ITAIPU
71,STA CLARA PR
72,FUNDAO
73,JORDAO
74,G.B. MUNHOZ
76,SEGREDO
77,SLT.SANTIAGO
78,SALTO OSORIO
82,SALTO CAXIAS
83,BAIXO IGUACU
86,BARRA GRANDE
88,SAO ROQUE
89,GARIBALDI
90,CAMPOS NOVOS
91,MACHADINHO
92,ITA
93,PASSO FUNDO
94,MONJOLINHO
95,QUEBRA QUEIX
97,CASTRO ALVES
98,MONTE CLARO
99,14 DE JULHO
101,SAO JOSE
102,PASSO S JOAO
103,FOZ CHAPECO
107,EDGARD SOUZA
108,TRAICAO
109,PEDREIRA
110,ERNESTINA
111,PASSO REAL
112,JACUI
113,ITAUBA
114,D. FRANCISCA
115,G.P. SOUZA
117,GUARAPIRANGA
118,BILLINGS
119,HENRY BORDEN
120,JAGUARI
121,PARAIBUNA
122,SANTA BRANCA
123,FUNIL
124,LAJES
125,STA CECILIA
126,PICADA
127,SOBRAGI
129,SIMPLICIO
130,ILHA POMBOS
131,NILO PECANHA
133,P. PASSOS
134,SALTO GRANDE
135,P. ESTRELA
139,CANDONGA
141,BAGUARI
143,AIMORES
144,MASCARENHAS
145,SUICA
146,FONTES C
147,FONTES AB
148,IRAPE
153,SAO DOMINGOS
154,ITAPEBI
155,RETIRO BAIXO
156,TRES MARIAS
162,QUEIMADO
169,SOBRADINHO
172,ITAPARICA
173,MOXOTO
174,P.AFONSO 123
175,P.AFONSO 4
178,XINGO
180,TOCOS
181,SANTANA
182,VIGARIO
185,BARRA BRAUNA
189,P. CAVALO
190,B. ESPERANCA
192,GUILMAN-AMOR
193,SA CARVALHO
195,JAURU
196,GUAPORE
203,CORUMBA III
204,CACH.CALDEIR
215,SALTO PILAO
217,ROSAL
225,SLT APIACAS
227,SINOP
228,COLIDER
229,TELES PIRES
230,SAO MANOEL
241,SLT VERDINHO
249,OURINHOS
251,SERRA MESA
252,CANA BRAVA
253,SAO SALVADOR
257,PEIXE ANGIC
260,ESTRELA
261,LAJEADO
262,SALTO
267,ESTREITO TOC
272,CURUA-UNA
275,TUCURUI
276,RONDON II
277,BALBINA
278,MANSO
279,SAMUEL
280,COARACY NUNE
281,PONTE PEDRA
283,STA CLARA MG
284,FERREIRA GOM
285,JIRAU
286,STO ANT JARI
287,STO ANTONIO
288,BELO MONTE
290,ESPORA
304,ITIQUIRA I
305,ITIQUIRA II
309,JURUENA
310,DARDANELOS
311,CACU
312,B. COQUEIROS
314,PIMENTAL
315,FOZ R. CLARO
