codigo,nome_decomp,submercado
1,ANGRA 1,1
4,ST.CRUZ 34,1
12,CUIABA CC,1
13,ANGRA 2,1
47,TERMORIO,1
49,VIANA,1
54,J.FORA,1
60,NORTEFLU,1
62,SEROPEDICA,1
63,IBIRITE,1
65,ATLAN_CSA,1
68,T.LAGOAS,1
90,T.MACAE,1
97,CUBATAO,1
108,XAVANTES,1
110,NPIRATINGA,1
137,UTE GNA I,1
146,UTE STA VI,1
153,DAIA,1
182,PALMEIR_GO,1
183,ATLANTICO,1
194,TNORTE 2,1
211,BAIXADA FL,1
229,O.PINTADA,1
236,M.AZUL,1
238,UTE GNA II,1
245,KARKEY 013,1
246,KARKEY 019,1
247,LORM_PCS,1
415,LORM,1
248,PAULINIA,1
249,PORSUD I,1
250,PORSUD II,1
251,POVOACAO I,1
651,POVOAC I_F,1
253,VIANA I,1
334,W.ARJONA,1
434,W.ARJONA O,1
24,J.LACER. C,2
25,J.LACER. B,2
26,J.LAC. A1,2
27,J.LAC. A2,2
35,URUGUAIANA,2
48,ARAUCARIA,2
64,CANOAS,2
107,PAMPA SUL,2
149,SAO SEPE,2
156,CANDIOTA_3,2
254,B.BONITA I,2
43,T.BAHIA,3
52,CAMPINA_GR,3
53,GLOBAL I,3
55,GLOBAL II,3
57,MARACANAU,3
58,TERMOCEARA,3
67,TERMONE,3
69,TERMOPB,3
83,VALE ACU,3
96,TERMOPE,3
98,PERNAMBU_3,3
106,ERB CANDEI,3
144,PETROLINA,3
147,PROSP_I,3
151,POTIGUAR,3
152,TERMOCABO,3
161,POTIGUAR_3,3
162,PECEM 2,3
163,P.PECEM2,3
167,P.PECEM1,3
170,SUAPE II,3
223,PROSP_III,3
235,C.MURICY 2,3
241,PROSP_II,3
21,MARANHAO V,4
36,MARANHAOIV,4
46,N.VENECIA2,4
70,GERAMAR2,4
73,GERAMAR1,4
116,PARNAIB_IV,4
140,UTE MAUA 3,4
176,P. ITAQUI,4
201,APARECIDA,4
203,PORAQUE,4
204,JARAQUI,4
205,PIRARUCU,4
207,TUCUNARE,4
209,TAMBAQUI,4
212,MARANHAO3,4
239,PARNAIBA_V,4
240,BARCARENA,4
322,BBF BALIZA,4
323,BONFIM,4
324,CANTA,4
326,JAGUATI II,4
327,M.C.SUCUBA,4
328,PALMAPLAN,4
329,PAU RAINHA,4
330,SANTA LUZ,4
